snapshot_id,timestamp,total_pods,total_nodes,running_pods,pending_pods,failed_pods,avg_pod_cpu,avg_node_cpu,max_pod_cpu,max_node_cpu,avg_pod_memory_mb,avg_node_memory_mb,max_pod_memory_mb,max_node_memory_mb,avg_api_latency_ms,max_api_latency_ms,total_restarts,label
1774286345,2026-03-23T22:49:05.264789,6,4,6,0,0,0.0015370894915146672,0.27785184700426085,0.004611486448648403,0.28266666666666124,11.397135416666666,804.6744791666666,14.73046875,845.94921875,78606231.93647814,1472960388.6589053,0.0,0
1774286375,2026-03-23T22:49:35.326000,6,4,6,0,0,0.0015131816096879396,0.268890933466121,0.004570055532319495,0.27067268161515357,11.16015625,869.0911458333334,14.14453125,956.8984375,78652076.49775292,1475192389.1416922,0.0,0
1774286405,2026-03-23T22:50:05.397621,6,4,6,0,0,0.0017339589781047195,0.31185185185184944,0.005046019605637166,0.32400000000000306,11.504557291666666,868.5234375,14.49609375,900.46484375,78689217.46383876,1475192389.1416922,0.0,0
1774286435,2026-03-23T22:50:35.435727,6,4,6,0,0,0.0022287317756720013,0.3418518486721921,0.007812325685396273,0.3420000000000012,11.473307291666666,828.3619791666666,14.3125,840.32421875,78724092.25230643,1476252392.1856682,0.0,0
1774286465,2026-03-23T22:51:05.477182,6,4,6,0,0,0.0018264268886745178,0.3423653087544534,0.005554138652455506,0.3437777777777806,11.496744791666666,795.6627604166666,14.87890625,817.19921875,78754868.46223107,1478612394.7582474,0.0,0
1774286495,2026-03-23T22:51:35.527045,6,4,6,0,0,0.0023716458665179823,0.3426692066408038,0.008411355769966159,0.3428965088113056,11.514322916666666,774.2473958333334,14.75390625,778.3203125,78790068.31247884,1481959395.5750763,0.0,0
1774286525,2026-03-23T22:52:05.560074,6,4,6,0,0,0.002385501239607692,0.3192616148671585,0.008287171873705403,0.3222222222222194,11.479817708333334,891.0130208333334,14.51171875,924.04296875,78826799.89749488,1482285398.6618223,0.0,0
1774286555,2026-03-23T22:52:35.603242,6,4,6,0,0,0.0021745288025499065,0.3283655375559557,0.007054938911552041,0.3326666666666735,11.521484375,842.2408854166666,14.609375,844.91796875,78853649.94652802,1482285398.6618223,0.0,0
1774286585,2026-03-23T22:53:05.640064,6,4,6,0,0,0.0018501765469708937,0.3254049926462516,0.005498530834771372,0.32599275571654107,11.281901041666666,779.25390625,14.30859375,814.33203125,78888071.31901278,1482285398.6618223,0.0,0
1774286615,2026-03-23T22:53:35.693848,6,4,6,0,0,0.0021154719181877284,0.3371086354459597,0.007424685662147818,0.33933333333334037,11.501302083333334,787.0611979166666,14.48828125,828.33203125,78918571.54634257,1482285398.6618223,0.0,0
1774286645,2026-03-23T22:54:05.736712,6,4,6,0,0,0.001965374437569561,0.32060210752427903,0.006257778401826716,0.321784928553962,11.19921875,870.8854166666666,14.15234375,935.98828125,78943874.52667038,1482285398.6618223,0.0,0
1774286675,2026-03-23T22:54:35.787068,6,4,6,0,0,0.0018812137084936096,0.2863724593056805,0.006924424640543441,0.2902222222222242,11.502604166666666,853.5143229166666,14.5234375,916.109375,78970586.37441723,1482285398.6618223,0.0,0
1774286705,2026-03-23T22:55:05.836852,6,4,6,0,0,0.0015188096229080367,0.3273333186258837,0.004916670477905407,0.32977777777778144,11.83203125,861.91796875,16.76171875,889.7734375,79004510.30165185,1482285398.6618223,0.0,0
1774286735,2026-03-23T22:55:35.890063,6,4,6,0,0,0.0018626322667656603,0.31133565437256955,0.006010647476811253,0.3133402964510233,11.564453125,864.6940104166666,14.734375,897.59375,79072380.01149662,1489203406.6726093,0.0,0
1774286765,2026-03-23T22:56:05.947824,6,4,6,0,0,0.0018096005701621794,0.3319209517689536,0.005505213296615933,0.33354073152304925,11.819661458333334,790.96875,15.6640625,810.96484375,79087604.5350253,1489535408.5020483,0.0,0
1774286796,2026-03-23T22:56:36.003435,6,4,6,0,0,0.0021127367408903946,0.3479337010442732,0.006712003995087156,0.3500233348889891,12.038411458333334,881.78515625,15.41796875,908.65625,79114484.31212153,1490056409.4967604,0.0,0
1774286826,2026-03-23T22:57:06.062610,6,4,6,0,0,0.0018637327287705392,0.32599995401707815,0.005880837055118748,0.32999266682963097,11.964192708333334,893.1536458333334,15.19921875,929.8359375,79134033.63792673,1490056409.4967604,0.0,0
1774286856,2026-03-23T22:57:36.116724,6,4,6,0,0,0.0017299784047658778,0.31378014871837634,0.0051046136927270554,0.3153543569571191,12.244791666666666,828.6197916666666,14.66796875,890.75,79167863.76180023,1490470411.3062265,0.0,0
1774286886,2026-03-23T22:58:06.156322,6,4,6,0,0,0.0016901796610336722,0.3068012256973739,0.005391461325069041,0.30844444444444746,11.520833333333334,878.3528645833334,14.61328125,898.47265625,79208496.98267859,1494043413.0487285,0.0,0
1774286916,2026-03-23T22:58:36.203649,6,4,6,0,0,0.002089596356943594,0.3036969730886407,0.006903723415924703,0.30488888888889176,12.1640625,872.90234375,16.4921875,874.24609375,79257592.9795897,1494043413.0487285,0.0,0
1774286946,2026-03-23T22:59:06.255025,6,4,6,0,0,0.0018668675644416249,0.2893312263842726,0.006247939068736418,0.2922222222222239,11.869140625,915.9869791666666,15.0859375,918.78125,79299802.59233324,1494043413.0487285,0.0,0
1774286976,2026-03-23T22:59:36.305540,6,4,6,0,0,0.0018440818692903713,0.3202962962962928,0.005619477396465081,0.32244444444444037,11.508463541666666,930.4010416666666,14.30859375,933.8984375,79325637.6341355,1494507414.8298295,0.0,0
1774287006,2026-03-23T23:00:06.357491,6,4,6,0,0,0.001983573302558925,0.31851851851851,0.006458660692414191,0.31888888888887795,12.297526041666666,842.1966145833334,16.41796875,908.34375,79349310.10936302,1494507414.8298295,0.0,0
1774287036,2026-03-23T23:00:36.416822,6,4,6,0,0,0.001408645310928623,0.30666891403554963,0.004665617071434255,0.30798631171947377,11.844401041666666,806.6953125,14.4453125,831.6640625,79399327.65834075,1497597416.0826516,0.0,0
1774287066,2026-03-23T23:01:06.466866,6,4,6,0,0,0.001353729434820843,0.2859280165073616,0.00420825765556971,0.2926666666666703,11.845703125,917.0911458333334,15.08203125,932.7421875,79424251.13610715,1497597416.0826516,0.0,0
1774287096,2026-03-23T23:01:36.522269,6,4,6,0,0,0.0016471143979893306,0.2471166026724526,0.00602617043928598,0.24756105691237437,11.962239583333334,908.03125,14.94921875,909.66015625,79450031.5030521,1497597416.0826516,0.0,0
1774287126,2026-03-23T23:02:06.560305,6,4,6,0,0,0.0020332438778190203,0.3001437356792839,0.006759727649054963,0.304680208009241,11.700520833333334,860.546875,14.46875,872.10546875,79485748.32932949,1500115419.8213816,0.0,0
1774287156,2026-03-23T23:02:36.612466,6,4,6,0,0,0.0019232461105065483,0.326666666666669,0.007004331203038543,0.32911111111111185,11.6484375,910.6549479166666,14.1953125,929.140625,79514849.42280327,1500115419.8213816,0.0,0
1774287186,2026-03-23T23:03:06.672109,6,4,6,0,0,0.002255172753660312,0.3283630932735226,0.008228556045909392,0.32977777777778605,11.911458333333334,881.8684895833334,14.96484375,910.12109375,79559847.20884244,1502284422.0666435,0.0,0
1774287216,2026-03-23T23:03:36.736027,6,4,6,0,0,0.0022975823587889806,0.34739454861576297,0.007581224586092247,0.3486666666666717,12.233723958333334,838.4440104166666,15.61328125,865.37109375,79584810.73772782,1502284422.0666435,0.0,0
1774287246,2026-03-23T23:04:06.793306,6,4,6,0,0,0.0017872238852143353,0.33978280998837307,0.006130562079643817,0.3404520100446542,11.760416666666666,803.23828125,14.8203125,818.125,79609030.20323358,1502789423.9645815,0.0,0
1774287276,2026-03-23T23:04:36.851734,6,4,6,0,0,0.0018730325098046375,0.343259251141725,0.0054747483120704075,0.343777777777777,11.623046875,829.7955729166666,14.484375,835.63671875,79648604.4173214,1503299428.8089445,0.0,0
1774287306,2026-03-23T23:05:06.907650,6,4,6,0,0,0.001812224396474619,0.3516296296296271,0.0059333881910279725,0.35422222222222144,11.922526041666666,881.5013020833334,14.5703125,885.109375,79674301.79699937,1503299428.8089445,0.0,0
1774287337,2026-03-23T23:05:36.957247,6,4,6,0,0,0.0017776703642323262,0.35488625684861075,0.005206919447047636,0.3553254372125014,11.784505208333334,879.2330729166666,14.48828125,888.578125,79701620.01259847,1503668431.3992023,0.0,0
1774287367,2026-03-23T23:06:07.020330,6,4,6,0,0,0.0018854188445353813,0.33392838359370747,0.005549851436164897,0.33777777777777673,11.713541666666666,864.1536458333334,14.30078125,886.6953125,79715366.3073643,1503668431.3992023,0.0,0
1774287397,2026-03-23T23:06:37.080653,6,4,6,0,0,0.0016171978952622865,0.3197754092114124,0.005270992406842199,0.3219928446034483,11.909505208333334,849.87890625,14.390625,864.046875,79756034.28743282,1503668431.3992023,0.0,0
1774287427,2026-03-23T23:07:07.131709,6,4,6,0,0,0.0016918354277917222,0.3348913701537405,0.005947721571944044,0.33491121630331677,11.421875,883.2213541666666,14.26171875,894.609375,79782968.1971878,1503668431.3992023,0.0,0
1774287457,2026-03-23T23:07:37.189775,6,4,6,0,0,0.0019284390547964307,0.34133080510682917,0.006063242340505763,0.34199240016888743,11.981119791666666,810.1380208333334,14.72265625,820.96484375,79835414.60148898,1506828434.0895925,0.0,0
1774287487,2026-03-23T23:08:07.241292,6,4,6,0,0,0.0019085389193185924,0.332355604713196,0.0061002075297974905,0.33354814337459787,11.661458333333334,875.0703125,14.72265625,882.50390625,79867954.29129739,1506828434.0895925,0.0,0
1774287517,2026-03-23T23:08:37.287596,6,4,6,0,0,0.0018376047794996068,0.327421968049277,0.005794366302678653,0.32780691617032354,11.723958333333334,858.3697916666666,14.27734375,871.765625,79895538.40744828,1506828434.0895925,0.0,0
1774287547,2026-03-23T23:09:07.341224,6,4,6,0,0,0.002215992200365801,0.3286666914662673,0.007226762033964285,0.33045178781750945,12.049479166666666,854.2174479166666,14.75,882.44921875,79910028.72910734,1506828434.0895925,0.0,0
1774287577,2026-03-23T23:09:37.398962,6,4,6,0,0,0.0021632471736290643,0.32947417969477333,0.0069291903837436376,0.3326666666666741,11.444010416666666,859.1223958333334,14.48046875,872.98046875,79942681.6577841,1506828434.0895925,0.0,0
1774287607,2026-03-23T23:10:07.449558,6,4,6,0,0,0.00199753669001356,0.33229384554047575,0.00592286997790432,0.33311111111111735,11.75,863.828125,14.44140625,879.50390625,79999526.9009818,1510000438.2364013,0.0,0
1774287637,2026-03-23T23:10:37.487436,6,4,6,0,0,0.002235640977748162,0.34474841016051944,0.007433802455885779,0.34556323473855177,12.490234375,876.1015625,15.70703125,888.97265625,80025086.24652143,1510000438.2364013,0.0,0
1774287667,2026-03-23T23:11:07.540887,6,4,6,0,0,0.0019656499182971396,0.34814815978530916,0.008299822412196452,0.34867441498700924,12.697916666666666,775.6744791666666,16.90234375,787.1015625,80083010.190951,1517261444.6407044,0.0,0
1774287697,2026-03-23T23:11:37.594696,6,4,6,0,0,0.0021899826436762772,0.34274330540678155,0.007236541789581592,0.3462299162203508,11.757161458333334,847.3359375,14.62890625,859.23828125,80109589.46077074,1517686445.8009024,0.0,0
1774287727,2026-03-23T23:12:07.656424,6,4,6,0,0,0.0017687956783939268,0.33896296296296324,0.005394029392516392,0.33999999999999064,11.294270833333334,819.0221354166666,14.23828125,870.4296875,80149099.7128704,1518080447.1661963,0.0,0
1774287757,2026-03-23T23:12:37.716950,6,4,6,0,0,0.0026126810831348605,0.3379359482159776,0.009750033810943345,0.3386666666666676,11.372395833333334,870.9921875,14.06640625,880.4609375,80190619.73855661,1518080447.1661963,0.0,0
1774287787,2026-03-23T23:13:07.776666,6,4,6,0,0,0.002522342895271161,0.3456986133679024,0.00898369601422298,0.34689659770217585,11.825520833333334,825.640625,14.71875,830.06640625,80212844.17401418,1518080447.1661963,0.0,0
1774287817,2026-03-23T23:13:37.836777,6,4,6,0,0,0.001655078564931677,0.3457062801203273,0.004968639656973113,0.34645984265968355,11.65625,805.7708333333334,15.09765625,828.53515625,80241620.6841505,1518657449.7534413,0.0,0
1774287847,2026-03-23T23:14:07.901290,6,4,6,0,0,0.002224882943893131,0.35451854497294627,0.008412136251659348,0.35711904708993614,12.138020833333334,863.2213541666666,15.01171875,883.90234375,80265707.16041844,1518657449.7534413,0.0,0
1774287877,2026-03-23T23:14:37.948459,6,4,6,0,0,0.0018028079233919929,0.34673559682212607,0.005332132587139155,0.3479922668385078,11.945963541666666,895.58203125,14.66796875,911.33984375,80293887.34949818,1518657449.7534413,0.0,0
1774287908,2026-03-23T23:15:07.999531,6,4,6,0,0,0.001972388687177962,0.3324469037583556,0.006762854468540823,0.33466666666666073,12.301432291666666,839.8033854166666,15.125,879.796875,80327436.81194805,1518657449.7534413,0.0,0
1774287938,2026-03-23T23:15:38.065576,6,4,6,0,0,0.001378773536584927,0.35214553256841463,0.004077077564585229,0.35310326437190126,11.970052083333334,861.7044270833334,15.31640625,871.19921875,80357498.94226044,1518657449.7534413,0.0,0
1774287968,2026-03-23T23:16:08.122971,6,4,6,0,0,0.0024633594099125436,0.3483729533729626,0.00915051060768031,0.3491111111111074,11.675130208333334,808.2447916666666,14.859375,829.15625,80391211.02671185,1519020450.7882504,0.0,0
1774287998,2026-03-23T23:16:38.180538,6,4,6,0,0,0.002049866793077589,0.3279283490250365,0.008181662115723158,0.3308888888888859,12.079427083333334,815.01171875,15.07421875,832.15625,80415686.40245402,1519020450.7882504,0.0,0
1774288028,2026-03-23T23:17:08.254766,6,4,6,0,0,0.0020535921775845676,0.33221974842215724,0.007004711763923915,0.3330963068308073,11.994791666666666,815.3020833333334,16.17578125,822.62890625,80443984.56001842,1519020450.7882504,0.0,0
1774288058,2026-03-23T23:17:38.309313,6,4,6,0,0,0.0020275605749220382,0.3245925844690652,0.007182718094968577,0.3253261038643638,11.719401041666666,945.9440104166666,14.81640625,960.9375,80470238.24536167,1519020450.7882504,0.0,0
1774288088,2026-03-23T23:18:08.361436,6,4,6,0,0,0.002261786146970358,0.31881952151124815,0.00851389010071448,0.3197777777777761,11.7109375,839.7565104166666,14.45703125,851.4296875,80492092.98899287,1519020450.7882504,0.0,0
1774288118,2026-03-23T23:18:38.425244,6,4,6,0,0,0.001865078245122282,0.3075578337954848,0.006289546020803382,0.30799999999999994,11.675130208333334,866.0885416666666,14.54296875,866.91015625,80515464.87998816,1519020450.7882504,0.0,0
1774288148,2026-03-23T23:19:08.464596,6,4,6,0,0,0.0021801276944473673,0.31614816173300453,0.008007757698084934,0.31645850926708413,11.940755208333334,863.2942708333334,14.3125,904.546875,80557910.53156547,1521639452.6041255,0.0,0
1774288178,2026-03-23T23:19:38.520445,6,4,6,0,0,0.0019020131195663713,0.3091065437180481,0.0072280329840100485,0.3093402075601636,11.981770833333334,809.8854166666666,14.60546875,820.2265625,80594380.78367257,1522116453.8663394,0.0,0
1774288208,2026-03-23T23:20:08.574770,6,4,6,0,0,0.0018317954642531932,0.3143750210930732,0.006390031106203661,0.31488888888889177,11.706380208333334,866.9036458333334,15.328125,871.32421875,80620748.27812727,1522491456.1813045,0.0,0
1774288238,2026-03-23T23:20:38.625265,6,4,6,0,0,0.0019596361142023666,0.3054141943895066,0.006628131668863816,0.3073401631147413,12.036458333333334,925.125,15.796875,952.67578125,80640588.01948836,1523061457.9913037,0.0,0
1774288268,2026-03-23T23:21:08.679897,6,4,6,0,0,0.0019478823536140846,0.3048170897624937,0.007373103621176548,0.3071179359541346,11.795572916666666,858.9166666666666,14.5546875,947.7109375,80663964.85857785,1523061457.9913037,0.0,0
1774288298,2026-03-23T23:21:38.729533,6,4,6,0,0,0.0019446091556879798,0.3064421597215472,0.006596959774563404,0.3084375902757694,11.674479166666666,882.75390625,14.375,939.69921875,80735391.13984704,1529475462.226055,0.0,0
1774288328,2026-03-23T23:22:08.778693,6,4,6,0,0,0.0015394730987465543,0.30251179643269327,0.00461063513281377,0.3026733927420399,11.549479166666666,811.6705729166666,14.60546875,873.53125,80788359.14202628,1532836463.340855,0.0,0
1774288358,2026-03-23T23:22:38.830629,6,4,6,0,0,0.001794563572774994,0.30511336630526564,0.006036880836609547,0.3055555555555586,12.014322916666666,909.5494791666666,14.94140625,912.12109375,80819942.82357769,1533228469.613618,0.0,0
1774288388,2026-03-23T23:23:08.881570,6,4,6,0,0,0.0018640995256982086,0.3064353881573414,0.006446755536130371,0.30777777777778215,11.962239583333334,888.3268229166666,15.72265625,926.5859375,80851171.94786644,1533228469.613618,0.0,0
1774288418,2026-03-23T23:23:38.930753,6,4,6,0,0,0.0021537528830592612,0.3094769056553712,0.007613835445598668,0.3100068890419795,11.705078125,796.1119791666666,14.62109375,807.80078125,80891263.14877024,1533228469.613618,0.0,0
1774288449,2026-03-23T23:24:08.986089,6,4,6,0,0,0.001925758208990607,0.3130370322018074,0.006785063599527111,0.31332637052510065,11.736328125,788.8020833333334,14.93359375,791.37109375,80914275.44774659,1533228469.613618,0.0,0
1774288479,2026-03-23T23:24:39.045590,6,4,6,0,0,0.0019143393515743856,0.30511110133515745,0.006128934548579993,0.306215417435164,12.115885416666666,906.5794270833334,14.40234375,907.55859375,80950312.46979773,1533228469.613618,0.0,0
1774288509,2026-03-23T23:25:09.100717,6,4,6,0,0,0.0021486655896836414,0.30526377129368454,0.00783917348688339,0.3066666666666649,11.453125,841.5520833333334,14.4375,851.48046875,80971984.83057144,1533228469.613618,0.0,0
1774288539,2026-03-23T23:25:39.148000,6,4,6,0,0,0.002161514398781317,0.31334029645103567,0.008278425637737851,0.31467365941465036,11.719401041666666,855.2447916666666,14.5546875,885.58203125,80996667.13567969,1533228469.613618,0.0,0
1774288569,2026-03-23T23:26:09.200459,6,4,6,0,0,0.001781751814020283,0.30525924783717956,0.006475743043055053,0.30621541743517067,11.822265625,869.4765625,14.3359375,876.46484375,81037654.73254545,1535436470.4408839,0.0,0
1774288599,2026-03-23T23:26:39.252448,6,4,6,0,0,0.0020531488152009366,0.30081481481481037,0.008088992819090379,0.30199999999999544,11.882161458333334,785.0247395833334,14.94140625,807.34765625,81046164.4192494,1535436470.4408839,0.0,0
1774288629,2026-03-23T23:27:09.300613,6,4,6,0,0,0.0015632682700021281,0.3085925531877445,0.004711837964110703,0.31043754583231264,12.099609375,825.5611979166666,14.8671875,830.08984375,81081590.41319004,1535898471.318374,0.0,0
1774288659,2026-03-23T23:27:39.342307,6,4,6,0,0,0.002220896708792476,0.3087338586912011,0.008926703288380022,0.3099862228345359,11.918619791666666,814.5442708333334,15.0703125,853.17578125,81107824.3088012,1535898471.318374,0.0,0
1774288689,2026-03-23T23:28:09.394064,6,4,6,0,0,0.0019211246896802007,0.31170832932090703,0.006727524737999759,0.31267361496922996,11.959635416666666,864.4153645833334,14.0625,865.05078125,81146905.63105102,1539007474.334975,0.0,0
1774288719,2026-03-23T23:28:39.447872,6,4,6,0,0,0.0014627536788383133,0.30955553261206054,0.005657347131627416,0.3106597631163901,11.964192708333334,844.4427083333334,14.84765625,871.578125,81183001.72073431,1539007474.334975,0.0,0
1774288749,2026-03-23T23:29:09.507667,6,4,6,0,0,0.0016117020714096764,0.3098495523144678,0.005324124263180084,0.3104375458323028,11.736979166666666,806.1028645833334,15.04296875,829.18359375,81214363.70819555,1539007474.334975,0.0,0
1774288779,2026-03-23T23:29:39.580005,6,4,6,0,0,0.002127924292322186,0.30526378137171617,0.0077791330622422085,0.305791368505269,11.700520833333334,838.8059895833334,15.15625,845.88671875,81246218.33601595,1539583476.4258,0.0,0
1774288809,2026-03-23T23:30:09.642057,6,4,6,0,0,0.0016217719333503234,0.31245136836283194,0.005536685300469229,0.3135555555555526,12.276692708333334,805.3763020833334,15.78125,816.94921875,81274738.10052097,1540596480.8101108,0.0,0
1774288839,2026-03-23T23:30:39.698095,6,4,6,0,0,0.0019479277158641426,0.3065858093046854,0.007835193009410402,0.3091111111111033,11.75390625,835.1640625,15.19140625,857.7734375,81295587.66594177,1540596480.8101108,0.0,0
1774288869,2026-03-23T23:31:09.760240,6,4,6,0,0,0.0023222882377573546,0.32230103921206704,0.009275086732307586,0.32310393102376106,11.724609375,872.6171875,15.13671875,894.9921875,81342132.01686615,1540596480.8101108,0.0,0
