snapshot_id,source_node,target_node,edge_type,weight
1774286645,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286645,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286645,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286645,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286645,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286675,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286675,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286675,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286675,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286675,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286675,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286705,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286705,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286705,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286705,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286705,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286705,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286735,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286735,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286735,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286735,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286735,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286735,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286765,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286765,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286765,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286765,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286765,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286765,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286796,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286796,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286796,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286796,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286796,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286796,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286826,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286826,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286826,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286826,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286826,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286826,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286856,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286856,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286856,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286856,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286856,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286856,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286886,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286886,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286886,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286886,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286886,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286886,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
1774286916,backend-api-669d9964b8-b8qkw,gnn-cluster-worker2,scheduled_on,1.0
1774286916,backend-api-669d9964b8-qblwm,gnn-cluster-worker3,scheduled_on,1.0
1774286916,frontend-7868f8655b-25dwq,gnn-cluster-worker,scheduled_on,1.0
1774286916,frontend-7868f8655b-vqjvm,gnn-cluster-worker3,scheduled_on,1.0
1774286916,redis-cache-67d574b944-ll9pf,gnn-cluster-worker2,scheduled_on,1.0
1774286916,workload-generator-667dc97f4f-67vch,gnn-cluster-worker3,scheduled_on,1.0
